,Away_team,division,matchday,result_home,season,team,GD_home,Pts_difference,home_rank
1,Arenas Club,1,1,W,1928-1929,Athletic Madrid,0.0,3.0,4
2,Real Unión,1,1,W,1928-1929,Espanyol,0.0,3.0,3
4,Catalunya,1,1,W,1928-1929,Real Madrid,0.0,3.0,1
1,Athletic,1,1,T,1928-1929,Donostia,0.0,-2.0,5
2,Racing,1,1,W,1928-1929,Barcelona,0.0,3.0,2
9,Barcelona,1,2,W,1928-1929,Real Madrid,5.0,6.0,1
7,Athletic,1,2,L,1928-1929,Espanyol,1.0,2.0,8
6,Donostia,1,2,L,1928-1929,Athletic Madrid,1.0,2.0,7
9,Racing,1,2,W,1928-1929,Real Unión,-1.0,2.0,4
8,Arenas Club,1,2,W,1928-1929,Catalunya,-5.0,2.0,6
12,Donostia,1,3,L,1928-1929,Barcelona,1.0,1.0,6
13,Espanyol,1,3,L,1928-1929,Catalunya,-2.0,1.0,8
14,Arenas Club,1,3,T,1928-1929,Real Unión,1.0,0.0,5
13,Athletic,1,3,L,1928-1929,Racing,-4.0,-3.0,10
14,Athletic Madrid,1,3,W,1928-1929,Real Madrid,6.0,9.0,1
19,Athletic Madrid,1,4,L,1928-1929,Real Unión,1.0,-1.0,6
18,Real Madrid,1,4,L,1928-1929,Donostia,6.0,3.0,4
19,Espanyol,1,4,L,1928-1929,Racing,-8.0,-4.0,10
16,Arenas Club,1,4,T,1928-1929,Barcelona,-2.0,-1.0,7
17,Athletic,1,4,L,1928-1929,Catalunya,-4.0,0.0,8
24,Catalunya,1,5,T,1928-1929,Real Unión,0.0,-3.0,6
21,Barcelona,1,5,W,1928-1929,Athletic Madrid,-2.0,7.0,4
23,Racing,1,5,W,1928-1929,Real Madrid,8.0,15.0,1
22,Donostia,1,5,T,1928-1929,Espanyol,-3.0,6.0,3
20,Arenas Club,1,5,L,1928-1929,Athletic,15.0,6.0,2
28,Real Madrid,1,6,W,1928-1929,Espanyol,-3.0,9.0,2
25,Real Unión,1,6,L,1928-1929,Athletic,14.0,5.0,4
27,Arenas Club,1,6,L,1928-1929,Donostia,5.0,0.0,6
26,Racing,1,6,W,1928-1929,Athletic Madrid,1.0,10.0,3
27,Catalunya,1,6,W,1928-1929,Barcelona,-5.0,1.0,8
33,Donostia,1,7,L,1928-1929,Racing,-17.0,-7.0,10
33,Arenas Club,1,7,L,1928-1929,Espanyol,1.0,8.0,3
31,Athletic Madrid,1,7,W,1928-1929,Catalunya,-9.0,0.0,8
32,Athletic,1,7,L,1928-1929,Barcelona,-2.0,0.0,9
34,Real Madrid,1,7,L,1928-1929,Real Unión,3.0,-1.0,7
39,Arenas Club,1,8,L,1928-1929,Real Madrid,8.0,16.0,1
35,Athletic Madrid,1,8,W,1928-1929,Athletic,15.0,11.0,2
38,Barcelona,1,8,L,1928-1929,Espanyol,0.0,7.0,5
37,Real Unión,1,8,W,1928-1929,Donostia,9.0,6.0,3
36,Racing,1,8,L,1928-1929,Catalunya,-6.0,-1.0,9
44,Arenas Club,1,9,L,1928-1929,Racing,-23.0,-5.0,10
44,Barcelona,1,9,L,1928-1929,Real Unión,0.0,-3.0,9
40,Real Madrid,1,9,L,1928-1929,Athletic,16.0,10.0,3
41,Espanyol,1,9,L,1928-1929,Athletic Madrid,1.0,7.0,7
43,Catalunya,1,9,L,1928-1929,Donostia,10.0,5.0,5
49,Espanyol,1,10,W,1928-1929,Real Unión,-1.0,0.0,9
45,Donostia,1,10,W,1928-1929,Athletic,12.0,13.0,3
47,Racing,1,10,W,1928-1929,Barcelona,-4.0,9.0,4
46,Arenas Club,1,10,L,1928-1929,Athletic Madrid,0.0,6.0,8
49,Catalunya,1,10,L,1928-1929,Real Madrid,11.0,18.0,1
52,Athletic,1,11,W,1928-1929,Espanyol,-1.0,12.0,4
53,Real Unión,1,11,L,1928-1929,Racing,-28.0,-7.0,10
53,Arenas Club,1,11,T,1928-1929,Catalunya,-3.0,3.0,8
52,Real Madrid,1,11,W,1928-1929,Barcelona,0.0,12.0,5
51,Donostia,1,11,T,1928-1929,Athletic Madrid,-1.0,4.0,9
56,Catalunya,1,12,W,1928-1929,Espanyol,2.0,15.0,1
57,Athletic,1,12,T,1928-1929,Racing,-30.0,-9.0,10
59,Athletic Madrid,1,12,L,1928-1929,Real Unión,2.0,2.0,8
59,Real Madrid,1,12,W,1928-1929,Donostia,7.0,5.0,6
55,Barcelona,1,12,L,1928-1929,Arenas Club,4.0,9.0,4
61,Athletic Madrid,1,13,W,1928-1929,Barcelona,3.0,18.0,1
62,Donostia,1,13,T,1928-1929,Espanyol,5.0,13.0,3
64,Real Madrid,1,13,T,1928-1929,Racing,-30.0,-11.0,10
60,Athletic,1,13,W,1928-1929,Arenas Club,2.0,12.0,2
64,Catalunya,1,13,L,1928-1929,Real Unión,0.0,1.0,9
65,Real Unión,1,14,L,1928-1929,Arenas Club,3.0,11.0,4
69,Athletic Madrid,1,14,W,1928-1929,Real Madrid,6.0,17.0,2
67,Barcelona,1,14,L,1928-1929,Donostia,8.0,2.0,6
68,Espanyol,1,14,T,1928-1929,Racing,-30.0,-13.0,10
66,Catalunya,1,14,T,1928-1929,Athletic,10.0,7.0,5
72,Catalunya,1,15,T,1928-1929,Barcelona,8.0,19.0,1
74,Espanyol,1,15,W,1928-1929,Real Madrid,9.0,20.0,2
71,Racing,1,15,W,1928-1929,Athletic Madrid,-6.0,8.0,8
70,Donostia,1,15,L,1928-1929,Arenas Club,-3.0,10.0,5
70,Real Unión,1,15,W,1928-1929,Athletic,10.0,10.0,3
78,Arenas Club,1,16,L,1928-1929,Espanyol,3.0,9.0,5
77,Racing,1,16,L,1928-1929,Donostia,8.0,4.0,6
75,Barcelona,1,16,L,1928-1929,Athletic,11.0,9.0,4
79,Real Madrid,1,16,L,1928-1929,Real Unión,4.0,2.0,9
76,Catalunya,1,16,W,1928-1929,Athletic Madrid,-5.0,11.0,7
82,Espanyol,1,17,T,1928-1929,Barcelona,11.0,20.0,2
80,Athletic Madrid,1,17,T,1928-1929,Athletic,8.0,7.0,4
81,Racing,1,17,W,1928-1929,Catalunya,-6.0,3.0,8
80,Real Madrid,1,17,L,1928-1929,Arenas Club,-1.0,12.0,3
84,Donostia,1,17,L,1928-1929,Real Unión,2.0,1.0,9
88,Catalunya,1,18,W,1928-1929,Donostia,4.0,10.0,4
88,Athletic,1,18,L,1928-1929,Real Madrid,15.0,25.0,2
86,Espanyol,1,18,W,1928-1929,Athletic Madrid,-4.0,12.0,6
89,Arenas Club,1,18,W,1928-1929,Racing,-29.0,-9.0,10
87,Real Unión,1,18,W,1928-1929,Barcelona,11.0,23.0,1
91,Catalunya,1,1,W,1929-1930,Athletic Madrid,0.0,3.0,3
90,Real Madrid,1,1,W,1929-1930,Athletic,0.0,3.0,5
92,Barcelona,1,1,L,1929-1930,Donostia,0.0,-1.0,10
93,Espanyol,1,1,W,1929-1930,Racing,0.0,3.0,1
94,Arenas Club,1,1,W,1929-1930,Real Unión,0.0,3.0,4
95,Barcelona,1,2,L,1929-1930,Arenas Club,-1.0,-2.0,10
95,Catalunya,1,2,T,1929-1930,Athletic,1.0,1.0,3
96,Espanyol,1,2,L,1929-1930,Athletic Madrid,2.0,2.0,5
97,Racing,1,2,W,1929-1930,Donostia,-3.0,2.0,4
99,Real Madrid,1,2,T,1929-1930,Real Unión,1.0,1.0,2
104,Athletic Madrid,1,3,L,1929-1930,Real Madrid,-1.0,-4.0,9
101,Barcelona,1,3,L,1929-1930,Catalunya,-2.0,-4.0,10
100,Racing,1,3,W,1929-1930,Arenas Club,-3.0,1.0,7
104,Espanyol,1,3,T,1929-1930,Real Unión,1.0,-1.0,3
100,Donostia,1,3,T,1929-1930,Athletic,1.0,-1.0,4
108,Donostia,1,4,L,1929-1930,Real Madrid,-2.0,-5.0,10
109,Athletic,1,4,T,1929-1930,Espanyol,-2.0,-2.0,6
107,Barcelona,1,4,L,1929-1930,Racing,-7.0,0.0,9
106,Real Unión,1,4,T,1929-1930,Athletic Madrid,2.0,3.0,3
106,Arenas Club,1,4,W,1929-1930,Catalunya,-3.0,-1.0,7
111,Donostia,1,5,W,1929-1930,Catalunya,-2.0,2.0,6
110,Athletic,1,5,T,1929-1930,Arenas Club,-1.0,-2.0,9
112,Real Unión,1,5,W,1929-1930,Barcelona,11.0,15.0,1
112,Athletic Madrid,1,5,W,1929-1930,Racing,-12.0,3.0,8
114,Real Madrid,1,5,W,1929-1930,Espanyol,-2.0,1.0,2
116,Athletic Madrid,1,6,W,1929-1930,Barcelona,13.0,18.0,1
119,Racing,1,6,W,1929-1930,Real Madrid,-8.0,-3.0,10
115,Donostia,1,6,T,1929-1930,Arenas Club,-1.0,-4.0,9
119,Athletic,1,6,L,1929-1930,Real Unión,-1.0,-5.0,7
117,Espanyol,1,6,W,1929-1930,Catalunya,-1.0,5.0,3
120,Espanyol,1,7,W,1929-1930,Arenas Club,-1.0,-1.0,6
121,Athletic Madrid,1,7,T,1929-1930,Donostia,7.0,-2.0,4
122,Athletic,1,7,T,1929-1930,Barcelona,15.0,16.0,1
123,Real Madrid,1,7,L,1929-1930,Catalunya,0.0,4.0,3
124,Racing,1,7,W,1929-1930,Real Unión,-4.0,-2.0,5
127,Barcelona,1,8,W,1929-1930,Espanyol,-3.0,2.0,4
126,Athletic,1,8,L,1929-1930,Athletic Madrid,-1.0,-2.0,10
129,Arenas Club,1,8,W,1929-1930,Real Madrid,-1.0,3.0,5
129,Donostia,1,8,W,1929-1930,Real Unión,-1.0,1.0,3
128,Racing,1,8,L,1929-1930,Catalunya,-1.0,3.0,6
133,Real Unión,1,9,L,1929-1930,Catalunya,-7.0,2.0,8
132,Real Madrid,1,9,L,1929-1930,Barcelona,11.0,14.0,1
134,Espanyol,1,9,W,1929-1930,Donostia,6.0,0.0,5
132,Athletic,1,9,L,1929-1930,Racing,-14.0,3.0,9
130,Athletic Madrid,1,9,W,1929-1930,Arenas Club,-2.0,1.0,6
135,Real Madrid,1,10,W,1929-1930,Athletic,13.0,5.0,2
136,Athletic Madrid,1,10,W,1929-1930,Catalunya,-8.0,5.0,7
138,Racing,1,10,W,1929-1930,Espanyol,0.0,4.0,5
139,Arenas Club,1,10,L,1929-1930,Real Unión,1.0,3.0,3
137,Barcelona,1,10,L,1929-1930,Donostia,7.0,-1.0,8
144,Real Madrid,1,11,T,1929-1930,Real Unión,-4.0,1.0,3
143,Donostia,1,11,W,1929-1930,Racing,-21.0,5.0,9
140,Barcelona,1,11,L,1929-1930,Arenas Club,5.0,3.0,5
141,Athletic,1,11,L,1929-1930,Catalunya,-6.0,4.0,7
143,Athletic Madrid,1,11,L,1929-1930,Espanyol,3.0,3.0,6
147,Catalunya,1,12,W,1929-1930,Barcelona,11.0,23.0,1
148,Real Unión,1,12,W,1929-1930,Espanyol,1.0,6.0,5
145,Racing,1,12,W,1929-1930,Arenas Club,3.0,6.0,3
145,Donostia,1,12,W,1929-1930,Athletic,17.0,11.0,2
146,Real Madrid,1,12,L,1929-1930,Athletic Madrid,-8.0,-2.0,10
152,Barcelona,1,13,W,1929-1930,Racing,-23.0,7.0,7
154,Athletic,1,13,L,1929-1930,Espanyol,3.0,5.0,6
154,Athletic Madrid,1,13,W,1929-1930,Real Unión,-6.0,3.0,4
153,Donostia,1,13,T,1929-1930,Real Madrid,7.0,4.0,5
150,Catalunya,1,13,W,1929-1930,Arenas Club,7.0,9.0,3
155,Arenas Club,1,14,W,1929-1930,Athletic,29.0,17.0,1
156,Racing,1,14,W,1929-1930,Athletic Madrid,-17.0,0.0,9
158,Catalunya,1,14,W,1929-1930,Donostia,-2.0,-2.0,7
159,Barcelona,1,14,L,1929-1930,Real Unión,0.0,2.0,5
159,Real Madrid,1,14,W,1929-1930,Espanyol,-3.0,8.0,4
163,Real Madrid,1,15,W,1929-1930,Racing,-24.0,9.0,7
161,Barcelona,1,15,W,1929-1930,Athletic Madrid,-15.0,3.0,8
164,Athletic,1,15,T,1929-1930,Real Unión,-2.0,0.0,5
163,Catalunya,1,15,W,1929-1930,Espanyol,4.0,11.0,4
160,Donostia,1,15,W,1929-1930,Arenas Club,5.0,11.0,3
165,Espanyol,1,16,L,1929-1930,Arenas Club,7.0,10.0,4
169,Racing,1,16,L,1929-1930,Real Unión,-2.0,-1.0,7
166,Donostia,1,16,L,1929-1930,Athletic Madrid,-14.0,2.0,9
167,Athletic,1,16,L,1929-1930,Barcelona,14.0,23.0,2
169,Catalunya,1,16,W,1929-1930,Real Madrid,-2.0,5.0,5
173,Racing,1,17,W,1929-1930,Catalunya,-21.0,2.0,10
170,Real Madrid,1,17,W,1929-1930,Arenas Club,6.0,13.0,3
170,Athletic Madrid,1,17,W,1929-1930,Athletic,33.0,21.0,1
172,Espanyol,1,17,W,1929-1930,Barcelona,13.0,26.0,2
174,Donostia,1,17,W,1929-1930,Real Unión,-4.0,2.0,5
179,Catalunya,1,18,L,1929-1930,Real Unión,-3.0,1.0,6
177,Real Madrid,1,18,L,1929-1930,Barcelona,14.0,25.0,2
177,Athletic,1,18,L,1929-1930,Racing,-25.0,10.0,7
175,Athletic Madrid,1,18,W,1929-1930,Arenas Club,10.0,16.0,3
179,Espanyol,1,18,L,1929-1930,Donostia,-1.0,-2.0,8
183,Real Madrid,1,1,L,1930-1931,Espanyol,0.0,-1.0,9
180,Donostia,1,1,T,1930-1931,Alavés,0.0,-2.0,6
180,Real Unión,1,1,L,1930-1931,Arenas Club,0.0,-1.0,7
183,Catalunya,1,1,W,1930-1931,Racing,0.0,3.0,3
181,Athletic,1,1,W,1930-1931,Barcelona,0.0,3.0,1
186,Catalunya,1,2,T,1930-1931,Barcelona,3.0,1.0,1
187,Athletic,1,2,L,1930-1931,Donostia,0.0,-3.0,9
188,Espanyol,1,2,L,1930-1931,Racing,1.0,2.0,7
185,Alavés,1,2,L,1930-1931,Arenas Club,-1.0,-2.0,10
189,Real Unión,1,2,T,1930-1931,Real Madrid,2.0,1.0,2
193,Arenas Club,1,3,L,1930-1931,Real Madrid,2.0,0.0,6
192,Real Unión,1,3,W,1930-1931,Catalunya,-1.0,0.0,4
190,Espanyol,1,3,W,1930-1931,Alavés,1.0,4.0,1
191,Donostia,1,3,L,1930-1931,Barcelona,3.0,0.0,3
190,Racing,1,3,L,1930-1931,Athletic,2.0,1.0,9
197,Real Madrid,1,4,L,1930-1931,Catalunya,0.0,-1.0,9
199,Donostia,1,4,L,1930-1931,Real Unión,0.0,-1.0,8
196,Racing,1,4,T,1930-1931,Barcelona,0.0,-2.0,7
196,Espanyol,1,4,L,1930-1931,Arenas Club,1.0,0.0,10
195,Athletic,1,4,L,1930-1931,Alavés,4.0,3.0,4
203,Alavés,1,5,W,1930-1931,Real Madrid,1.0,6.0,2
201,Athletic,1,5,W,1930-1931,Catalunya,-2.0,2.0,4
202,Arenas Club,1,5,L,1930-1931,Barcelona,0.0,-3.0,10
202,Donostia,1,5,L,1930-1931,Racing,1.0,2.0,5
204,Espanyol,1,5,W,1930-1931,Real Unión,-2.0,2.0,3
209,Real Madrid,1,6,W,1930-1931,Racing,-2.0,5.0,2
207,Espanyol,1,6,W,1930-1931,Barcelona,-5.0,0.0,6
206,Arenas Club,1,6,W,1930-1931,Athletic,4.0,6.0,5
205,Real Unión,1,6,W,1930-1931,Alavés,-3.0,5.0,3
208,Catalunya,1,6,W,1930-1931,Donostia,3.0,9.0,1
213,Arenas Club,1,7,W,1930-1931,Donostia,5.0,12.0,1
214,Alavés,1,7,W,1930-1931,Racing,1.0,8.0,2
213,Athletic,1,7,L,1930-1931,Real Madrid,-1.0,4.0,5
211,Real Unión,1,7,T,1930-1931,Barcelona,-1.0,-2.0,6
212,Catalunya,1,7,W,1930-1931,Espanyol,-6.0,5.0,7
218,Real Madrid,1,8,W,1930-1931,Donostia,7.0,15.0,1
215,Espanyol,1,8,W,1930-1931,Athletic,13.0,12.0,3
216,Catalunya,1,8,W,1930-1931,Arenas Club,-4.0,4.0,7
215,Barcelona,1,8,T,1930-1931,Alavés,-4.0,2.0,4
219,Real Unión,1,8,W,1930-1931,Racing,4.0,11.0,2
222,Alavés,1,9,L,1930-1931,Catalunya,-10.0,-2.0,10
221,Real Madrid,1,9,T,1930-1931,Barcelona,-1.0,-6.0,7
224,Athletic,1,9,L,1930-1931,Real Unión,-2.0,-3.0,9
223,Espanyol,1,9,L,1930-1931,Donostia,8.0,14.0,1
224,Arenas Club,1,9,L,1930-1931,Racing,7.0,10.0,3
226,Athletic,1,10,L,1930-1931,Barcelona,-1.0,-7.0,8
225,Donostia,1,10,L,1930-1931,Alavés,-2.0,4.0,4
227,Racing,1,10,L,1930-1931,Catalunya,-12.0,-3.0,10
225,Real Unión,1,10,T,1930-1931,Arenas Club,1.0,5.0,5
228,Real Madrid,1,10,T,1930-1931,Espanyol,-5.0,5.0,6
232,Athletic,1,11,W,1930-1931,Donostia,8.0,20.0,1
233,Racing,1,11,L,1930-1931,Espanyol,-5.0,4.0,7
230,Arenas Club,1,11,T,1930-1931,Alavés,-3.0,2.0,4
234,Real Madrid,1,11,L,1930-1931,Real Unión,-3.0,-6.0,10
231,Catalunya,1,11,L,1930-1931,Barcelona,-12.0,-8.0,8
238,Barcelona,1,12,L,1930-1931,Donostia,9.0,19.0,1
237,Real Unión,1,12,L,1930-1931,Catalunya,-11.0,-1.0,10
237,Alavés,1,12,W,1930-1931,Espanyol,-9.0,7.0,5
235,Racing,1,12,W,1930-1931,Athletic,28.0,20.0,2
236,Real Madrid,1,12,W,1930-1931,Arenas Club,1.0,6.0,4
243,Catalunya,1,13,W,1930-1931,Real Madrid,-6.0,4.0,5
244,Barcelona,1,13,L,1930-1931,Racing,4.0,14.0,3
240,Alavés,1,13,W,1930-1931,Athletic,34.0,23.0,1
241,Espanyol,1,13,W,1930-1931,Arenas Club,2.0,9.0,4
244,Donostia,1,13,T,1930-1931,Real Unión,-5.0,-5.0,9
247,Donostia,1,14,W,1930-1931,Racing,3.0,17.0,3
246,Athletic,1,14,L,1930-1931,Catalunya,-15.0,-3.0,10
249,Espanyol,1,14,L,1930-1931,Real Unión,-5.0,-6.0,9
248,Alavés,1,14,L,1930-1931,Real Madrid,-3.0,3.0,7
245,Barcelona,1,14,L,1930-1931,Arenas Club,3.0,8.0,4
251,Donostia,1,15,W,1930-1931,Catalunya,-18.0,0.0,10
251,Arenas Club,1,15,L,1930-1931,Athletic,40.0,25.0,1
254,Real Madrid,1,15,T,1930-1931,Racing,6.0,15.0,2
254,Alavés,1,15,W,1930-1931,Real Unión,-7.0,-3.0,9
252,Espanyol,1,15,T,1930-1931,Barcelona,-7.0,-1.0,5
258,Arenas Club,1,16,W,1930-1931,Donostia,1.0,18.0,3
259,Alavés,1,16,W,1930-1931,Racing,6.0,18.0,2
257,Espanyol,1,16,W,1930-1931,Catalunya,-17.0,3.0,10
255,Real Madrid,1,16,L,1930-1931,Athletic,39.0,24.0,1
256,Real Unión,1,16,W,1930-1931,Barcelona,-7.0,2.0,4
261,Alavés,1,17,T,1930-1931,Barcelona,-5.0,0.0,6
260,Espanyol,1,17,W,1930-1931,Athletic,37.0,27.0,1
263,Real Madrid,1,17,L,1930-1931,Donostia,4.0,17.0,3
264,Racing,1,17,W,1930-1931,Real Unión,-6.0,-1.0,8
261,Catalunya,1,17,W,1930-1931,Arenas Club,-1.0,13.0,4
269,Athletic,1,18,W,1930-1931,Real Unión,-5.0,2.0,7
266,Real Madrid,1,18,W,1930-1931,Barcelona,-5.0,3.0,4
268,Espanyol,1,18,W,1930-1931,Donostia,2.0,20.0,3
269,Arenas Club,1,18,W,1930-1931,Racing,9.0,20.0,2
267,Alavés,1,18,W,1930-1931,Catalunya,-16.0,5.0,10
273,Athletic,1,1,T,1931-1932,Real Madrid,0.0,-2.0,5
272,Valencia,1,1,W,1931-1932,Espanyol,0.0,3.0,1
271,Donostia,1,1,W,1931-1932,Arenas Club,0.0,3.0,3
273,Alavés,1,1,W,1931-1932,Racing,0.0,3.0,4
274,Barcelona,1,1,L,1931-1932,Real Unión,0.0,-1.0,9
278,Donostia,1,2,W,1931-1932,Real Madrid,0.0,1.0,5
277,Racing,1,2,L,1931-1932,Espanyol,3.0,2.0,6
276,Barcelona,1,2,T,1931-1932,Arenas Club,1.0,1.0,4
275,Alavés,1,2,W,1931-1932,Athletic,0.0,1.0,3
279,Valencia,1,2,L,1931-1932,Real Unión,-2.0,-2.0,10
284,Real Madrid,1,3,T,1931-1932,Valencia,1.0,0.0,6
283,Arenas Club,1,3,L,1931-1932,Racing,2.0,5.0,4
282,Alavés,1,3,W,1931-1932,Donostia,-2.0,1.0,8
281,Espanyol,1,3,W,1931-1932,Barcelona,2.0,4.0,2
280,Real Unión,1,3,W,1931-1932,Athletic,1.0,4.0,1
285,Barcelona,1,4,W,1931-1932,Athletic,5.0,7.0,1
289,Donostia,1,4,L,1931-1932,Valencia,1.0,-1.0,8
287,Arenas Club,1,4,W,1931-1932,Espanyol,-1.0,4.0,7
289,Alavés,1,4,W,1931-1932,Real Madrid,1.0,2.0,2
288,Racing,1,4,T,1931-1932,Real Unión,-10.0,-5.0,9
290,Valencia,1,5,T,1931-1932,Athletic,8.0,5.0,1
291,Real Madrid,1,5,T,1931-1932,Arenas Club,1.0,1.0,5
294,Donostia,1,5,L,1931-1932,Real Unión,-10.0,-6.0,10
292,Racing,1,5,W,1931-1932,Barcelona,2.0,6.0,2
290,Espanyol,1,5,W,1931-1932,Alavés,-8.0,-1.0,9
298,Real Madrid,1,6,L,1931-1932,Espanyol,-2.0,2.0,7
297,Valencia,1,6,W,1931-1932,Racing,-2.0,5.0,4
297,Athletic,1,6,L,1931-1932,Donostia,10.0,6.0,5
296,Real Unión,1,6,L,1931-1932,Arenas Club,1.0,0.0,6
295,Barcelona,1,6,L,1931-1932,Alavés,-5.0,-2.0,10
302,Valencia,1,7,T,1931-1932,Barcelona,10.0,7.0,3
303,Donostia,1,7,W,1931-1932,Racing,1.0,8.0,4
300,Arenas Club,1,7,L,1931-1932,Alavés,-11.0,-3.0,10
302,Athletic,1,7,W,1931-1932,Espanyol,-5.0,5.0,7
304,Real Madrid,1,7,L,1931-1932,Real Unión,-14.0,-4.0,9
308,Racing,1,8,T,1931-1932,Real Madrid,10.0,4.0,3
307,Real Unión,1,8,L,1931-1932,Espanyol,-4.0,4.0,7
309,Alavés,1,8,L,1931-1932,Valencia,-8.0,-7.0,9
307,Donostia,1,8,W,1931-1932,Barcelona,10.0,10.0,2
306,Arenas Club,1,8,W,1931-1932,Athletic,11.0,10.0,1
310,Real Unión,1,9,W,1931-1932,Alavés,-12.0,3.0,9
312,Barcelona,1,9,W,1931-1932,Real Madrid,10.0,7.0,2
313,Espanyol,1,9,L,1931-1932,Donostia,0.0,3.0,7
314,Athletic,1,9,L,1931-1932,Racing,5.0,5.0,4
314,Arenas Club,1,9,W,1931-1932,Valencia,-9.0,-4.0,8
319,Espanyol,1,10,W,1931-1932,Valencia,-8.0,-1.0,6
316,Donostia,1,10,L,1931-1932,Arenas Club,-2.0,0.0,8
315,Racing,1,10,T,1931-1932,Alavés,-10.0,1.0,9
316,Real Unión,1,10,W,1931-1932,Barcelona,10.0,12.0,3
318,Athletic,1,10,T,1931-1932,Real Madrid,12.0,5.0,2
321,Arenas Club,1,11,W,1931-1932,Barcelona,11.0,15.0,2
320,Athletic,1,11,L,1931-1932,Alavés,-10.0,0.0,9
323,Donostia,1,11,W,1931-1932,Real Madrid,12.0,8.0,3
324,Valencia,1,11,W,1931-1932,Real Unión,-15.0,0.0,10
322,Racing,1,11,W,1931-1932,Espanyol,-7.0,9.0,5
327,Barcelona,1,12,T,1931-1932,Espanyol,-2.0,7.0,5
328,Athletic,1,12,L,1931-1932,Real Unión,-14.0,-1.0,10
325,Donostia,1,12,L,1931-1932,Alavés,-11.0,-1.0,9
329,Valencia,1,12,W,1931-1932,Real Madrid,13.0,11.0,2
326,Racing,1,12,T,1931-1932,Arenas Club,-11.0,-3.0,8
330,Real Madrid,1,13,L,1931-1932,Alavés,-14.0,-2.0,10
330,Barcelona,1,13,W,1931-1932,Athletic,17.0,20.0,1
331,Espanyol,1,13,W,1931-1932,Arenas Club,-11.0,0.0,8
331,Valencia,1,13,L,1931-1932,Donostia,7.0,7.0,6
333,Real Unión,1,13,T,1931-1932,Racing,-1.0,-2.0,4
339,Donostia,1,14,W,1931-1932,Real Unión,-15.0,0.0,9
335,Valencia,1,14,W,1931-1932,Athletic,19.0,23.0,1
335,Espanyol,1,14,L,1931-1932,Alavés,-15.0,-3.0,10
338,Arenas Club,1,14,W,1931-1932,Real Madrid,17.0,17.0,2
337,Barcelona,1,14,W,1931-1932,Racing,-1.0,1.0,4
343,Espanyol,1,15,W,1931-1932,Real Madrid,21.0,20.0,1
341,Alavés,1,15,W,1931-1932,Barcelona,10.0,14.0,3
340,Donostia,1,15,L,1931-1932,Athletic,24.0,22.0,2
342,Valencia,1,15,L,1931-1932,Racing,0.0,0.0,4
341,Real Unión,1,15,W,1931-1932,Arenas Club,-14.0,2.0,8
347,Valencia,1,16,W,1931-1932,Barcelona,12.0,17.0,3
346,Racing,1,16,L,1931-1932,Donostia,2.0,8.0,6
347,Athletic,1,16,L,1931-1932,Espanyol,0.0,7.0,5
348,Real Unión,1,16,T,1931-1932,Real Madrid,22.0,18.0,2
345,Alavés,1,16,L,1931-1932,Arenas Club,-9.0,1.0,8
352,Donostia,1,17,W,1931-1932,Barcelona,13.0,20.0,3
351,Arenas Club,1,17,L,1931-1932,Athletic,27.0,24.0,2
353,Racing,1,17,T,1931-1932,Real Madrid,22.0,16.0,1
350,Valencia,1,17,L,1931-1932,Alavés,-19.0,-2.0,10
352,Real Unión,1,17,W,1931-1932,Espanyol,-4.0,10.0,5
355,Real Unión,1,18,W,1931-1932,Alavés,-23.0,1.0,9
357,Real Madrid,1,18,T,1931-1932,Barcelona,14.0,18.0,3
359,Athletic,1,18,W,1931-1932,Racing,-1.0,4.0,4
356,Donostia,1,18,L,1931-1932,Espanyol,-2.0,9.0,6
356,Valencia,1,18,W,1931-1932,Arenas Club,-10.0,7.0,5
361,Donostia,1,1,T,1932-1933,Barcelona,0.0,-2.0,6
361,Real Betis,1,1,W,1932-1933,Athletic,0.0,3.0,1
362,Alavés,1,1,L,1932-1933,Racing,0.0,-1.0,9
364,Arenas Club,1,1,W,1932-1933,Valencia,0.0,3.0,3
363,Real Madrid,1,1,W,1932-1933,Espanyol,0.0,3.0,4
366,Racing,1,2,W,1932-1933,Athletic,8.0,6.0,1
368,Arenas Club,1,2,W,1932-1933,Espanyol,1.0,6.0,2
368,Valencia,1,2,W,1932-1933,Real Betis,-8.0,2.0,7
369,Donostia,1,2,W,1932-1933,Real Madrid,-1.0,2.0,5
365,Barcelona,1,2,L,1932-1933,Alavés,6.0,2.0,4
374,Alavés,1,3,W,1932-1933,Real Madrid,3.0,5.0,3
371,Arenas Club,1,3,W,1932-1933,Athletic,9.0,9.0,1
371,Valencia,1,3,T,1932-1933,Barcelona,2.0,-1.0,5
372,Racing,1,3,W,1932-1933,Espanyol,3.0,9.0,2
372,Real Betis,1,3,L,1932-1933,Donostia,-4.0,-4.0,8
377,Athletic,1,4,W,1932-1933,Espanyol,4.0,12.0,1
378,Valencia,1,4,W,1932-1933,Racing,-8.0,0.0,9
379,Real Betis,1,4,W,1932-1933,Real Madrid,4.0,8.0,3
376,Barcelona,1,4,L,1932-1933,Arenas Club,-5.0,-4.0,10
375,Donostia,1,4,L,1932-1933,Alavés,3.0,0.0,8
381,Racing,1,5,W,1932-1933,Arenas Club,-8.0,-1.0,9
380,Alavés,1,5,W,1932-1933,Athletic,9.0,11.0,3
383,Barcelona,1,5,W,1932-1933,Real Betis,-8.0,7.0,4
