,season,division,matchday,team,Away_team,index_match,W,L,T,result,rank,GD_home,GD_away
0,1928-1929,1,1,Arenas Club,Athletic Madrid,0,,,,L,,,
2,1928-1929,1,1,Espanyol,Real Unión,1,,,,W,,,
4,1928-1929,1,1,Real Madrid,Catalunya,2,,,,W,,,
1,1928-1929,1,1,Donostia,Athletic,3,,,,T,,,
2,1928-1929,1,1,Barcelona,Racing,4,,,,W,,,
11853,1970-1971,1,26,Espanyol,[],[],12.0,24.0,14.0,NaN,13.0,-18.0,18.0
11854,1970-1971,1,26,Granada CF,[],[],16.0,22.0,12.0,NaN,10.0,0.0,0.0
9,1928-1929,1,2,Real Madrid,Barcelona,5,1.0,0.0,0.0,W,1.0,5.0,-5.0
7,1928-1929,1,2,Espanyol,Athletic,6,1.0,0.0,0.0,L,3.0,1.0,-1.0
11799,1970-1971,1,19,Barcelona,[],[],24.0,8.0,4.0,NaN,1.0,30.0,-30.0
11808,1970-1971,1,20,Barcelona,[],[],24.0,10.0,4.0,NaN,2.0,28.0,-28.0
11887,1970-1971,1,30,Granada CF,[],[],18.0,24.0,16.0,NaN,10.0,-4.0,4.0
8,1928-1929,1,2,Racing,Real Unión,8,0.0,1.0,0.0,L,9.0,-2.0,2.0
5,1928-1929,1,2,Arenas Club,Catalunya,9,0.0,1.0,0.0,L,7.0,-1.0,1.0
6,1928-1929,1,2,Athletic Madrid,Donostia,7,1.0,0.0,0.0,L,4.0,1.0,-1.0
11866,1970-1971,1,27,Celta de Vigo,[],[],28.0,16.0,8.0,NaN,5.0,10.0,-10.0
12,1928-1929,1,3,Espanyol,Catalunya,11,1.0,1.0,0.0,W,8.0,-8.0,8.0
10,1928-1929,1,3,Arenas Club,Real Unión,12,0.0,2.0,0.0,T,10.0,-4.0,4.0
13,1928-1929,1,3,Racing,Athletic,13,0.0,2.0,0.0,L,9.0,-4.0,4.0
14,1928-1929,1,3,Real Madrid,Athletic Madrid,14,2.0,0.0,0.0,W,1.0,6.0,-6.0
11886,1970-1971,1,30,Athletic,[],[],26.0,18.0,14.0,NaN,6.0,16.0,-16.0
11865,1970-1971,1,27,Real Madrid,[],[],28.0,12.0,12.0,NaN,4.0,36.0,-36.0
16,1928-1929,1,4,Athletic Madrid,Real Unión,15,1.0,2.0,0.0,W,6.0,-3.0,3.0
11883,1970-1971,1,29,Real Zaragoza,[],[],6.0,34.0,16.0,NaN,16.0,-60.0,60.0
11879,1970-1971,1,29,CD Málaga,[],[],16.0,18.0,22.0,NaN,9.0,-8.0,8.0
18,1928-1929,1,4,Real Madrid,Donostia,16,3.0,0.0,0.0,W,1.0,7.0,-7.0
19,1928-1929,1,4,Racing,Espanyol,17,0.0,3.0,0.0,L,10.0,-8.0,8.0
16,1928-1929,1,4,Barcelona,Arenas Club,18,1.0,2.0,0.0,T,8.0,-2.0,2.0
17,1928-1929,1,4,Catalunya,Athletic,19,1.0,2.0,0.0,L,7.0,-4.0,4.0
11855,1970-1971,1,26,Real Gijón,[],[],18.0,24.0,8.0,NaN,9.0,-8.0,8.0
11843,1970-1971,1,24,Sevilla FC,[],[],22.0,14.0,10.0,NaN,6.0,-8.0,8.0
11668,1970-1971,1,2,Sevilla FC,[],[],2.0,0.0,0.0,NaN,3.0,2.0,-2.0
11883,1970-1971,1,29,Real Sociedad,[],[],18.0,22.0,16.0,NaN,8.0,-12.0,12.0
21,1928-1929,1,5,Athletic Madrid,Barcelona,21,2.0,2.0,0.0,W,5.0,-2.0,2.0
24,1928-1929,1,5,Racing,Real Madrid,22,0.0,4.0,0.0,L,10.0,-11.0,11.0
23,1928-1929,1,5,Donostia,Espanyol,23,2.0,1.0,1.0,T,4.0,5.0,-5.0
20,1928-1929,1,5,Athletic,Arenas Club,24,3.0,0.0,1.0,L,2.0,15.0,-15.0
28,1928-1929,1,6,Espanyol,Real Madrid,25,3.0,1.0,1.0,W,2.0,-3.0,3.0
25,1928-1929,1,6,Athletic,Real Unión,26,3.0,1.0,1.0,L,3.0,14.0,-14.0
25,1928-1929,1,6,Arenas Club,Donostia,27,1.0,2.0,2.0,W,6.0,-3.0,3.0
11779,1970-1971,1,16,Real Zaragoza,[],[],4.0,14.0,12.0,NaN,15.0,-28.0,28.0
11840,1970-1971,1,24,Granada CF,[],[],16.0,18.0,12.0,NaN,9.0,6.0,-6.0
28,1928-1929,1,6,Racing,Athletic Madrid,28,0.0,5.0,0.0,L,10.0,-13.0,13.0
26,1928-1929,1,6,Athletic Madrid,Racing,28,3.0,2.0,0.0,W,4.0,1.0,-1.0
27,1928-1929,1,6,Barcelona,Catalunya,29,1.0,3.0,1.0,W,9.0,-5.0,5.0
33,1928-1929,1,7,Racing,Donostia,30,0.0,6.0,0.0,L,10.0,-17.0,17.0
30,1928-1929,1,7,Arenas Club,Espanyol,31,2.0,2.0,2.0,W,6.0,0.0,0.0
31,1928-1929,1,7,Athletic Madrid,Catalunya,32,4.0,2.0,0.0,L,3.0,5.0,-5.0
32,1928-1929,1,7,Barcelona,Athletic,33,2.0,3.0,1.0,L,8.0,-2.0,2.0
34,1928-1929,1,7,Real Madrid,Real Unión,34,5.0,1.0,0.0,W,1.0,6.0,-6.0
35,1928-1929,1,8,Arenas Club,Real Madrid,35,3.0,2.0,2.0,W,6.0,1.0,-1.0
35,1928-1929,1,8,Athletic,Athletic Madrid,36,4.0,2.0,1.0,W,2.0,15.0,-15.0
37,1928-1929,1,8,Barcelona,Espanyol,37,2.0,4.0,1.0,W,9.0,-6.0,6.0
11834,1970-1971,1,23,Real Madrid,[],[],22.0,10.0,12.0,NaN,5.0,34.0,-34.0
11862,1970-1971,1,27,Espanyol,[],[],12.0,24.0,16.0,NaN,13.0,-18.0,18.0
11711,1970-1971,1,8,Espanyol,[],[],2.0,6.0,6.0,NaN,12.0,-8.0,8.0
11879,1970-1971,1,29,CE Sabadell ,[],[],16.0,30.0,10.0,NaN,13.0,-38.0,38.0
11871,1970-1971,1,28,Granada CF,[],[],16.0,24.0,14.0,NaN,10.0,-6.0,6.0
11887,1970-1971,1,30,Atlético Madrid,[],[],34.0,10.0,14.0,NaN,3.0,62.0,-62.0
36,1928-1929,1,8,Catalunya,Racing,39,2.0,4.0,1.0,L,8.0,-6.0,6.0
40,1928-1929,1,9,Arenas Club,Racing,40,4.0,2.0,2.0,W,4.0,2.0,-2.0
42,1928-1929,1,9,Barcelona,Real Unión,41,3.0,4.0,1.0,W,7.0,-5.0,5.0
40,1928-1929,1,9,Athletic,Real Madrid,42,5.0,2.0,1.0,L,2.0,16.0,-16.0
11829,1970-1971,1,23,Athletic,[],[],24.0,10.0,10.0,NaN,4.0,30.0,-30.0
42,1928-1929,1,9,Espanyol,Athletic Madrid,43,4.0,3.0,1.0,W,5.0,-1.0,1.0
41,1928-1929,1,9,Catalunya,Donostia,44,2.0,5.0,1.0,W,9.0,-7.0,7.0
47,1928-1929,1,10,Espanyol,Real Unión,45,5.0,3.0,1.0,L,3.0,0.0,0.0
46,1928-1929,1,10,Donostia,Athletic,46,4.0,3.0,2.0,L,5.0,9.0,-9.0
47,1928-1929,1,10,Barcelona,Racing,47,4.0,4.0,1.0,W,6.0,-4.0,4.0
11882,1970-1971,1,29,Real Madrid,[],[],32.0,12.0,12.0,NaN,4.0,42.0,-42.0
11865,1970-1971,1,27,CE Sabadell ,[],[],16.0,26.0,10.0,NaN,12.0,-32.0,32.0
11868,1970-1971,1,27,UD Las Palmas,[],[],10.0,26.0,16.0,NaN,14.0,-12.0,12.0
11881,1970-1971,1,29,Real Gijón,[],[],18.0,30.0,8.0,NaN,11.0,-22.0,22.0
46,1928-1929,1,10,Athletic Madrid,Arenas Club,48,4.0,5.0,0.0,L,7.0,0.0,0.0
48,1928-1929,1,10,Catalunya,Real Madrid,49,3.0,5.0,1.0,W,8.0,-6.0,6.0
52,1928-1929,1,11,Espanyol,Athletic,50,5.0,4.0,1.0,W,5.0,-1.0,1.0
54,1928-1929,1,11,Real Unión,Racing,51,3.0,5.0,2.0,W,9.0,0.0,0.0
11869,1970-1971,1,28,CD Málaga,[],[],16.0,16.0,22.0,NaN,8.0,-6.0,6.0
53,1928-1929,1,11,Catalunya,Arenas Club,52,4.0,5.0,1.0,T,7.0,-3.0,3.0
50,1928-1929,1,11,Arenas Club,Catalunya,52,6.0,2.0,2.0,T,2.0,4.0,-4.0
52,1928-1929,1,11,Barcelona,Real Madrid,53,5.0,4.0,1.0,W,4.0,0.0,0.0
51,1928-1929,1,11,Donostia,Athletic Madrid,54,4.0,4.0,2.0,T,6.0,7.0,-7.0
58,1928-1929,1,12,Catalunya,Espanyol,55,4.0,5.0,2.0,L,8.0,-3.0,3.0
56,1928-1929,1,12,Athletic,Racing,56,6.0,4.0,1.0,T,5.0,11.0,-11.0
57,1928-1929,1,12,Athletic Madrid,Real Unión,57,4.0,6.0,1.0,W,9.0,-1.0,1.0
58,1928-1929,1,12,Real Madrid,Donostia,58,7.0,4.0,0.0,L,2.0,7.0,-7.0
55,1928-1929,1,12,Barcelona,Arenas Club,59,6.0,4.0,1.0,W,4.0,1.0,-1.0
61,1928-1929,1,13,Barcelona,Athletic Madrid,60,7.0,4.0,1.0,W,2.0,3.0,-3.0
62,1928-1929,1,13,Espanyol,Donostia,61,7.0,4.0,1.0,T,1.0,5.0,-5.0
64,1928-1929,1,13,Racing,Real Madrid,62,1.0,10.0,1.0,T,10.0,-30.0,30.0
60,1928-1929,1,13,Athletic,Arenas Club,63,6.0,4.0,2.0,L,5.0,11.0,-11.0
11833,1970-1971,1,23,Celta de Vigo,[],[],22.0,14.0,8.0,NaN,6.0,0.0,0.0
65,1928-1929,1,14,Arenas Club,Real Unión,65,7.0,3.0,3.0,L,2.0,3.0,-3.0
11831,1970-1971,1,23,Elche CF,[],[],2.0,24.0,18.0,NaN,16.0,-32.0,32.0
11830,1970-1971,1,23,Atlético Madrid,[],[],26.0,8.0,10.0,NaN,2.0,46.0,-46.0
11832,1970-1971,1,23,CD Málaga,[],[],8.0,14.0,22.0,NaN,12.0,-16.0,16.0
11710,1970-1971,1,8,Elche CF,[],[],2.0,8.0,4.0,NaN,13.0,-2.0,2.0
11823,1970-1971,1,22,Espanyol,[],[],10.0,20.0,12.0,NaN,13.0,-12.0,12.0
11714,1970-1971,1,8,Real Sociedad,[],[],4.0,2.0,8.0,NaN,8.0,2.0,-2.0
11715,1970-1971,1,8,Real Gijón,[],[],2.0,8.0,4.0,NaN,14.0,-16.0,16.0
69,1928-1929,1,14,Real Unión,Arenas Club,65,4.0,7.0,2.0,W,9.0,-1.0,1.0
69,1928-1929,1,14,Real Madrid,Athletic Madrid,66,7.0,5.0,1.0,W,4.0,6.0,-6.0
67,1928-1929,1,14,Donostia,Barcelona,67,5.0,4.0,4.0,L,6.0,8.0,-8.0
68,1928-1929,1,14,Espanyol,Racing,68,7.0,4.0,2.0,T,3.0,5.0,-5.0
67,1928-1929,1,14,Catalunya,Athletic,69,5.0,6.0,2.0,T,7.0,-5.0,5.0
72,1928-1929,1,15,Barcelona,Catalunya,70,9.0,4.0,1.0,T,1.0,8.0,-8.0
71,1928-1929,1,15,Catalunya,Barcelona,70,5.0,6.0,3.0,T,7.0,-5.0,5.0
74,1928-1929,1,15,Real Madrid,Espanyol,71,8.0,5.0,1.0,W,2.0,9.0,-9.0
73,1928-1929,1,15,Racing,Athletic Madrid,72,1.0,10.0,3.0,L,10.0,-30.0,30.0
72,1928-1929,1,15,Donostia,Arenas Club,73,5.0,5.0,4.0,W,6.0,7.0,-7.0
74,1928-1929,1,15,Real Unión,Athletic,74,5.0,7.0,2.0,L,8.0,5.0,-5.0
75,1928-1929,1,16,Arenas Club,Espanyol,75,7.0,5.0,3.0,W,4.0,-4.0,4.0
77,1928-1929,1,16,Donostia,Racing,76,6.0,5.0,4.0,L,6.0,8.0,-8.0
75,1928-1929,1,16,Athletic,Barcelona,77,7.0,5.0,3.0,L,3.0,11.0,-11.0
79,1928-1929,1,16,Real Unión,Real Madrid,78,5.0,8.0,2.0,L,9.0,4.0,-4.0
76,1928-1929,1,16,Catalunya,Athletic Madrid,79,5.0,6.0,4.0,L,8.0,-5.0,5.0
83,1928-1929,1,17,Espanyol,Barcelona,80,7.0,6.0,3.0,T,5.0,0.0,0.0
80,1928-1929,1,17,Athletic,Athletic Madrid,81,7.0,6.0,3.0,T,4.0,8.0,-8.0
81,1928-1929,1,17,Catalunya,Racing,82,5.0,7.0,4.0,W,8.0,-6.0,6.0
84,1928-1929,1,17,Real Madrid,Arenas Club,83,10.0,5.0,1.0,W,2.0,13.0,-13.0
82,1928-1929,1,17,Donostia,Real Unión,84,6.0,6.0,4.0,W,7.0,3.0,-3.0
86,1928-1929,1,18,Catalunya,Donostia,85,6.0,7.0,4.0,L,8.0,-3.0,3.0
88,1928-1929,1,18,Real Madrid,Athletic,86,11.0,5.0,1.0,L,1.0,15.0,-15.0
85,1928-1929,1,18,Athletic,Real Madrid,86,7.0,6.0,4.0,W,5.0,8.0,-8.0
11757,1970-1971,1,14,Barcelona,[],[],18.0,4.0,4.0,NaN,1.0,26.0,-26.0
11754,1970-1971,1,13,Elche CF,[],[],2.0,10.0,12.0,NaN,15.0,-4.0,4.0
11752,1970-1971,1,13,CE Sabadell ,[],[],6.0,12.0,6.0,NaN,11.0,-10.0,10.0
11764,1970-1971,1,14,Valencia,[],[],14.0,6.0,6.0,NaN,3.0,16.0,-16.0
11714,1970-1971,1,8,Celta de Vigo,[],[],6.0,4.0,4.0,NaN,6.0,2.0,-2.0
11874,1970-1971,1,28,Real Sociedad,[],[],18.0,22.0,14.0,NaN,9.0,-12.0,12.0
11876,1970-1971,1,28,Real Zaragoza,[],[],6.0,34.0,14.0,NaN,16.0,-60.0,60.0
11776,1970-1971,1,16,Elche CF,[],[],2.0,14.0,14.0,NaN,16.0,-10.0,10.0
11762,1970-1971,1,14,Elche CF,[],[],2.0,10.0,14.0,NaN,14.0,-4.0,4.0
89,1928-1929,1,18,Racing,Arenas Club,88,2.0,12.0,3.0,W,10.0,-29.0,29.0
89,1928-1929,1,18,Real Unión,Barcelona,89,5.0,10.0,2.0,L,9.0,1.0,-1.0
91,1929-1930,1,1,Catalunya,Athletic Madrid,90,,,,L,,,
11759,1970-1971,1,14,Atlético Madrid,[],[],14.0,2.0,10.0,NaN,2.0,24.0,-24.0
92,1929-1930,1,1,Barcelona,Donostia,92,,,,W,,,
93,1929-1930,1,1,Racing,Espanyol,93,,,,W,,,
11656,1970-1971,1,1,Granada CF,[],[],,,,NaN,,,
90,1929-1930,1,1,Athletic,Real Madrid,91,,,,W,,,
90,1929-1930,1,1,Arenas Club,Real Unión,94,,,,L,,,
94,1929-1930,1,1,Real Unión,Arenas Club,94,,,,W,,,
95,1929-1930,1,2,Arenas Club,Barcelona,95,0.0,1.0,0.0,L,6.0,-1.0,1.0
96,1929-1930,1,2,Catalunya,Athletic,96,0.0,1.0,0.0,T,8.0,-2.0,2.0
96,1929-1930,1,2,Athletic Madrid,Espanyol,97,1.0,0.0,0.0,L,3.0,2.0,-2.0
97,1929-1930,1,2,Donostia,Racing,98,0.0,1.0,0.0,W,10.0,-3.0,3.0
99,1929-1930,1,2,Real Unión,Real Madrid,99,1.0,0.0,0.0,T,4.0,1.0,-1.0
101,1929-1930,1,3,Athletic Madrid,Real Madrid,100,1.0,1.0,0.0,W,6.0,1.0,-1.0
101,1929-1930,1,3,Catalunya,Barcelona,101,0.0,1.0,1.0,L,8.0,-2.0,2.0
100,1929-1930,1,3,Arenas Club,Racing,102,0.0,2.0,0.0,W,10.0,-3.0,3.0
104,1929-1930,1,3,Real Unión,Espanyol,103,1.0,0.0,1.0,T,2.0,1.0,-1.0
102,1929-1930,1,3,Donostia,Athletic,104,1.0,1.0,0.0,T,4.0,4.0,-4.0
108,1929-1930,1,4,Donostia,Real Madrid,105,1.0,1.0,1.0,W,5.0,4.0,-4.0
109,1929-1930,1,4,Espanyol,Athletic,106,1.0,1.0,1.0,T,6.0,-2.0,2.0
107,1929-1930,1,4,Racing,Barcelona,107,1.0,2.0,0.0,L,8.0,-7.0,7.0
109,1929-1930,1,4,Real Unión,Athletic Madrid,108,1.0,0.0,2.0,T,3.0,1.0,-1.0
106,1929-1930,1,4,Catalunya,Arenas Club,109,0.0,2.0,1.0,W,9.0,-3.0,3.0
113,1929-1930,1,5,Donostia,Catalunya,110,2.0,1.0,1.0,L,2.0,8.0,-8.0
110,1929-1930,1,5,Arenas Club,Athletic,111,1.0,3.0,0.0,T,8.0,-1.0,1.0
112,1929-1930,1,5,Barcelona,Real Unión,112,4.0,0.0,0.0,W,1.0,11.0,-11.0
112,1929-1930,1,5,Racing,Athletic Madrid,113,1.0,3.0,0.0,W,9.0,-12.0,12.0
113,1929-1930,1,5,Real Madrid,Espanyol,114,0.0,3.0,1.0,L,10.0,-6.0,6.0
116,1929-1930,1,6,Barcelona,Athletic Madrid,115,5.0,0.0,0.0,W,1.0,13.0,-13.0
119,1929-1930,1,6,Real Madrid,Racing,116,0.0,4.0,1.0,W,10.0,-8.0,8.0
118,1929-1930,1,6,Racing,Real Madrid,116,2.0,3.0,0.0,L,7.0,-11.0,11.0
11763,1970-1971,1,14,Espanyol,[],[],6.0,10.0,10.0,NaN,11.0,-8.0,8.0
11760,1970-1971,1,14,CE Sabadell ,[],[],6.0,14.0,6.0,NaN,12.0,-12.0,12.0
11756,1970-1971,1,13,Sevilla FC,[],[],10.0,8.0,6.0,NaN,7.0,-4.0,4.0
11764,1970-1971,1,14,Real Zaragoza,[],[],2.0,14.0,10.0,NaN,16.0,-30.0,30.0
11724,1970-1971,1,9,UD Las Palmas,[],[],2.0,6.0,8.0,NaN,12.0,-8.0,8.0
11722,1970-1971,1,9,Real Gijón,[],[],4.0,8.0,4.0,NaN,11.0,-14.0,14.0
11723,1970-1971,1,9,Real Zaragoza,[],[],0.0,8.0,8.0,NaN,16.0,-16.0,16.0
11759,1970-1971,1,14,Granada CF,[],[],8.0,10.0,8.0,NaN,9.0,0.0,0.0
11822,1970-1971,1,22,Elche CF,[],[],2.0,22.0,18.0,NaN,16.0,-28.0,28.0
11716,1970-1971,1,8,Valencia,[],[],6.0,4.0,4.0,NaN,5.0,6.0,-6.0
11719,1970-1971,1,9,Elche CF,[],[],2.0,8.0,6.0,NaN,14.0,-2.0,2.0
11765,1970-1971,1,14,UD Las Palmas,[],[],2.0,10.0,14.0,NaN,15.0,-12.0,12.0
119,1929-1930,1,6,Real Unión,Athletic,118,1.0,1.0,3.0,L,8.0,-1.0,1.0
117,1929-1930,1,6,Catalunya,Espanyol,119,2.0,2.0,1.0,W,3.0,-1.0,1.0
120,1929-1930,1,7,Arenas Club,Espanyol,120,1.0,3.0,2.0,W,9.0,-1.0,1.0
121,1929-1930,1,7,Athletic Madrid,Donostia,121,2.0,3.0,1.0,T,6.0,-1.0,1.0
122,1929-1930,1,7,Barcelona,Athletic,122,6.0,0.0,0.0,T,1.0,15.0,-15.0
120,1929-1930,1,7,Athletic,Barcelona,122,2.0,0.0,4.0,T,2.0,4.0,-4.0
124,1929-1930,1,7,Real Unión,Racing,124,1.0,2.0,3.0,W,7.0,-4.0,4.0
127,1929-1930,1,8,Barcelona,Espanyol,125,6.0,0.0,1.0,L,1.0,15.0,-15.0
11678,1970-1971,1,4,Athletic,[],[],0.0,2.0,4.0,NaN,14.0,-4.0,4.0
11709,1970-1971,1,8,CE Sabadell ,[],[],4.0,8.0,2.0,NaN,11.0,-6.0,6.0
123,1929-1930,1,7,Catalunya,Real Madrid,123,3.0,2.0,1.0,L,3.0,0.0,0.0
126,1929-1930,1,8,Athletic Madrid,Athletic,126,2.0,3.0,2.0,L,7.0,-1.0,1.0
125,1929-1930,1,8,Athletic,Athletic Madrid,126,2.0,0.0,5.0,W,2.0,4.0,-4.0
125,1929-1930,1,8,Arenas Club,Real Madrid,127,2.0,3.0,2.0,L,6.0,1.0,-1.0
129,1929-1930,1,8,Real Unión,Donostia,128,2.0,2.0,3.0,W,4.0,-1.0,1.0
128,1929-1930,1,8,Catalunya,Racing,129,3.0,3.0,1.0,L,3.0,-1.0,1.0
134,1929-1930,1,9,Real Unión,Catalunya,130,3.0,2.0,3.0,W,3.0,0.0,0.0
133,1929-1930,1,9,Real Madrid,Barcelona,131,3.0,4.0,1.0,W,5.0,2.0,-2.0
131,1929-1930,1,9,Espanyol,Donostia,132,3.0,3.0,2.0,L,4.0,1.0,-1.0
130,1929-1930,1,9,Athletic,Racing,133,3.0,0.0,5.0,W,2.0,9.0,-9.0
130,1929-1930,1,9,Arenas Club,Athletic Madrid,134,2.0,4.0,2.0,W,9.0,-2.0,2.0
139,1929-1930,1,10,Real Madrid,Athletic,135,4.0,4.0,1.0,L,4.0,5.0,-5.0
136,1929-1930,1,10,Catalunya,Athletic Madrid,136,3.0,5.0,1.0,W,8.0,-8.0,8.0
138,1929-1930,1,10,Espanyol,Racing,137,3.0,4.0,2.0,W,7.0,0.0,0.0
139,1929-1930,1,10,Real Unión,Arenas Club,138,4.0,2.0,3.0,L,3.0,1.0,-1.0
137,1929-1930,1,10,Barcelona,Donostia,139,6.0,2.0,1.0,W,1.0,8.0,-8.0
144,1929-1930,1,11,Real Unión,Real Madrid,140,4.0,3.0,3.0,T,3.0,-4.0,4.0
142,1929-1930,1,11,Donostia,Racing,141,3.0,4.0,3.0,L,8.0,6.0,-6.0
142,1929-1930,1,11,Barcelona,Arenas Club,142,7.0,2.0,1.0,W,1.0,9.0,-9.0
141,1929-1930,1,11,Catalunya,Athletic,143,4.0,5.0,1.0,L,6.0,-6.0,6.0
141,1929-1930,1,11,Athletic Madrid,Espanyol,144,2.0,6.0,2.0,W,10.0,-10.0,10.0
147,1929-1930,1,12,Barcelona,Catalunya,145,8.0,2.0,1.0,W,1.0,11.0,-11.0
149,1929-1930,1,12,Real Unión,Espanyol,146,4.0,3.0,4.0,L,3.0,-4.0,4.0
148,1929-1930,1,12,Racing,Arenas Club,147,4.0,7.0,0.0,L,8.0,-19.0,19.0
147,1929-1930,1,12,Donostia,Athletic,148,3.0,5.0,3.0,L,9.0,4.0,-4.0
149,1929-1930,1,12,Real Madrid,Athletic Madrid,149,4.0,5.0,2.0,W,4.0,4.0,-4.0
152,1929-1930,1,13,Barcelona,Racing,150,9.0,2.0,1.0,L,1.0,14.0,-14.0
154,1929-1930,1,13,Espanyol,Athletic,151,5.0,5.0,2.0,L,5.0,3.0,-3.0
151,1929-1930,1,13,Athletic Madrid,Real Unión,152,3.0,7.0,2.0,L,10.0,-11.0,11.0
153,1929-1930,1,13,Donostia,Real Madrid,153,3.0,6.0,3.0,T,9.0,-2.0,2.0
151,1929-1930,1,13,Catalunya,Arenas Club,154,4.0,7.0,1.0,L,7.0,-12.0,12.0
155,1929-1930,1,14,Arenas Club,Athletic,155,6.0,5.0,2.0,L,3.0,8.0,-8.0
156,1929-1930,1,14,Athletic Madrid,Racing,156,3.0,8.0,2.0,W,10.0,-17.0,17.0
156,1929-1930,1,14,Catalunya,Donostia,157,4.0,8.0,1.0,L,9.0,-13.0,13.0
11690,1970-1971,1,5,Real Madrid,[],[],4.0,2.0,2.0,NaN,5.0,2.0,-2.0
11654,1970-1971,1,1,Barcelona,[],[],,,,NaN,,,
11666,1970-1971,1,2,Real Gijón,[],[],0.0,2.0,0.0,NaN,15.0,-4.0,4.0
11681,1970-1971,1,4,CD Málaga,[],[],2.0,2.0,2.0,NaN,10.0,-4.0,4.0
11679,1970-1971,1,4,Atlético Madrid,[],[],4.0,0.0,2.0,NaN,2.0,6.0,-6.0
11729,1970-1971,1,10,CD Málaga,[],[],4.0,6.0,8.0,NaN,10.0,-8.0,8.0
11661,1970-1971,1,1,UD Las Palmas,[],[],,,,NaN,,,
11662,1970-1971,1,2,Atlético Madrid,[],[],0.0,0.0,2.0,NaN,7.0,0.0,0.0
11665,1970-1971,1,2,Granada CF,[],[],0.0,0.0,2.0,NaN,9.0,0.0,0.0
11682,1970-1971,1,4,Real Zaragoza,[],[],0.0,4.0,2.0,NaN,16.0,-8.0,8.0
11663,1970-1971,1,2,Celta de Vigo,[],[],2.0,0.0,0.0,NaN,1.0,4.0,-4.0
11661,1970-1971,1,2,Athletic,[],[],0.0,0.0,2.0,NaN,4.0,0.0,0.0
11667,1970-1971,1,2,Real Zaragoza,[],[],0.0,0.0,2.0,NaN,11.0,0.0,0.0
11657,1970-1971,1,1,Real Gijón,[],[],,,,NaN,,,
11667,1970-1971,1,2,Real Sociedad,[],[],0.0,0.0,2.0,NaN,13.0,0.0,0.0
11786,1970-1971,1,17,Espanyol,[],[],6.0,16.0,10.0,NaN,13.0,-14.0,14.0
159,1929-1930,1,14,Real Unión,Barcelona,158,5.0,4.0,4.0,L,4.0,0.0,0.0
159,1929-1930,1,14,Espanyol,Real Madrid,159,5.0,6.0,2.0,W,6.0,-3.0,3.0
163,1929-1930,1,15,Racing,Real Madrid,160,5.0,9.0,0.0,W,8.0,-24.0,24.0
161,1929-1930,1,15,Barcelona,Athletic Madrid,161,10.0,3.0,1.0,L,2.0,15.0,-15.0
160,1929-1930,1,15,Athletic,Real Unión,162,9.0,0.0,5.0,T,1.0,32.0,-32.0
162,1929-1930,1,15,Catalunya,Espanyol,163,4.0,9.0,1.0,L,10.0,-15.0,15.0
160,1929-1930,1,15,Arenas Club,Donostia,164,6.0,6.0,2.0,W,4.0,5.0,-5.0
165,1929-1930,1,16,Arenas Club,Espanyol,165,7.0,6.0,2.0,L,3.0,7.0,-7.0
168,1929-1930,1,16,Racing,Real Unión,166,6.0,9.0,0.0,W,6.0,-22.0,22.0
166,1929-1930,1,16,Donostia,Athletic Madrid,167,4.0,7.0,4.0,W,9.0,-2.0,2.0
167,1929-1930,1,16,Barcelona,Athletic,168,10.0,4.0,1.0,L,2.0,14.0,-14.0
11851,1970-1971,1,25,Real Sociedad,[],[],18.0,16.0,14.0,NaN,8.0,0.0,0.0
11838,1970-1971,1,24,Elche CF,[],[],4.0,24.0,18.0,NaN,15.0,-30.0,30.0
11789,1970-1971,1,18,CE Sabadell ,[],[],10.0,18.0,6.0,NaN,11.0,-16.0,16.0
11774,1970-1971,1,16,CE Sabadell ,[],[],8.0,16.0,6.0,NaN,11.0,-14.0,14.0
11674,1970-1971,1,3,Real Madrid,[],[],2.0,2.0,0.0,NaN,10.0,0.0,0.0
11870,1970-1971,1,28,Espanyol,[],[],14.0,24.0,16.0,NaN,12.0,-14.0,14.0
173,1929-1930,1,17,Racing,Catalunya,170,7.0,9.0,0.0,L,6.0,-20.0,20.0
170,1929-1930,1,17,Arenas Club,Real Madrid,171,7.0,7.0,2.0,W,4.0,6.0,-6.0
170,1929-1930,1,17,Athletic,Athletic Madrid,172,10.0,0.0,6.0,W,1.0,33.0,-33.0
172,1929-1930,1,17,Barcelona,Espanyol,173,10.0,5.0,1.0,W,2.0,13.0,-13.0
174,1929-1930,1,17,Real Unión,Donostia,174,5.0,6.0,5.0,W,7.0,-4.0,4.0
179,1929-1930,1,18,Real Unión,Catalunya,175,6.0,6.0,5.0,L,5.0,-3.0,3.0
177,1929-1930,1,18,Barcelona,Real Madrid,176,11.0,5.0,1.0,L,2.0,14.0,-14.0
177,1929-1930,1,18,Racing,Athletic,177,7.0,10.0,0.0,L,7.0,-25.0,25.0
175,1929-1930,1,18,Arenas Club,Athletic Madrid,178,8.0,7.0,2.0,W,3.0,10.0,-10.0
179,1929-1930,1,18,Donostia,Espanyol,179,5.0,8.0,4.0,L,8.0,-1.0,1.0
183,1930-1931,1,1,Espanyol,Real Madrid,180,,,,L,,,
182,1930-1931,1,1,Donostia,Alavés,181,,,,T,,,
180,1930-1931,1,1,Arenas Club,Real Unión,182,,,,L,,,
183,1930-1931,1,1,Racing,Catalunya,183,,,,W,,,
